,Nombre,Apellidos,Nombre y Apellidos,Móvil,Código Postal,Pass,Perfil,Servicios Disponibles,Status,FotoV,Bio,Fecha inscripción,Estrellas,N_opinion
101,Jose Miguel,Gomila,Jose Miguel Gomila,632112544,33439,16803777,Ambos,"['El día a día', 'Burocracia', 'Servicios del Municipio']",0,hombre1.png,Me gusta pasar mi tiempo ayudando a los demás y hacer nuevos amigos.,17/01/2022,3.0,1
102,Bernardo,Neira,Bernardo Neira,607611708,26003,73901021,Voluntario,"['Amigos y Ocio', 'Burocracia']",0,hombre2.png,Soy una persona muy atenta. Me gusta aportar mi granito de arena siempre que puedo. Estaría encantada de poder acompañarte en lo que necesites.,11/08/2021,2.0,1
103,Alfonso,Grau,Alfonso Grau,659958555,44114,17673383,Voluntario,"['Salud', 'Amigos y Ocio', 'El día a día', 'Burocracia']",0,mujer1.png,Me encanta sertirme útil y por eso estaría encantada de poder ayudarte.,12/03/2020,2.0,1
104,Dionisia,Giménez,Dionisia Giménez,626542562,22233,77321740,Ambos,['Servicios del Municipio'],1,hombre2.png,"Me gusta trabajar con otras personas, codo con codo, sumando fuerzas, compartiendo experiencias y aprendiendo unas de otras, creciendo juntos.",25/03/2022,3.0,1
105,Adrián,Belda,Adrián Belda,657955153,45542,62630068,Ambos,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'El día a día', 'Burocracia', 'Servicios del Municipio']",1,mujer1.png,Quiero devolver a la comunidad lo que me dieron sin pedir nada a cambio.,25/10/2020,5.0,1
106,Laura,Barral,Laura Barral,635035677,02005,44538099,Voluntario,"['Nuevas Tecnologías', 'Amigos y Ocio', 'El día a día', 'Burocracia']",1,hombre1.png,Quiero devolver a la comunidad lo que me dieron sin pedir nada a cambio.,22/11/2019,4.0,1
107,Jenaro,Bauzà,Jenaro Bauzà,679945153,21003,43218997,Ambos,"['Nuevas Tecnologías', 'Servicios del Municipio']",1,hombre2.png,Quiero devolver a la comunidad lo que me dieron sin pedir nada a cambio.,22/04/2021,5.0,1
108,Vicenta,Angulo,Vicenta Angulo,697567466,27568,55892651,Ambos,"['Amigos y Ocio', 'El día a día', 'Burocracia', 'Servicios del Municipio']",0,mujer1.png,Quiero devolver a la comunidad lo que me dieron sin pedir nada a cambio.,21/12/2019,1.0,1
109,Rosalina,Murillo,Rosalina Murillo,667688823,17464,33422162,Voluntario,['Amigos y Ocio'],1,mujer2.png,Soy una persona muy atenta. Me gusta aportar mi granito de arena siempre que puedo. Estaría encantada de poder acompañarte en lo que necesites.,14/05/2022,2.0,1
110,Calisto,Vilaplana,Calisto Vilaplana,648154320,24146,32699940,Voluntario,"['El día a día', 'Burocracia']",1,hombre1.png,Soy una persona muy atenta. Me gusta aportar mi granito de arena siempre que puedo. Estaría encantada de poder acompañarte en lo que necesites.,27/06/2022,2.0,1
111,Jordán,Lopez,Jordán Lopez,605771722,12160,26576793,Ambos,"['Amigos y Ocio', 'El día a día', 'Burocracia']",0,mujer1.png,Soy una persona muy atenta. Me gusta aportar mi granito de arena siempre que puedo. Estaría encantada de poder acompañarte en lo que necesites.,02/01/2020,1.0,1
112,Haydée,Torralba,Haydée Torralba,664161798,33424,35844006,Ambos,"['Amigos y Ocio', 'El día a día']",0,mujer1.png,"Me gusta trabajar con otras personas, codo con codo, sumando fuerzas, compartiendo experiencias y aprendiendo unas de otras, creciendo juntos.",18/08/2019,2.0,1
113,Iker,Catalán,Iker Catalán,623901262,36550,27056283,Ambos,"['Salud', 'El día a día', 'Burocracia', 'Servicios del Municipio']",0,hombre1.png,"Me gusta trabajar con otras personas, codo con codo, sumando fuerzas, compartiendo experiencias y aprendiendo unas de otras, creciendo juntos.",01/01/2020,1.0,1
114,Loreto,Suárez,Loreto Suárez,605127805,15980,85871248,Voluntario,"['Salud', 'Amigos y Ocio', 'Servicios del Municipio']",1,hombre1.png,"Me gusta trabajar con otras personas, codo con codo, sumando fuerzas, compartiendo experiencias y aprendiendo unas de otras, creciendo juntos.",23/02/2022,2.0,1
115,Jose Carlos,Ramírez,Jose Carlos Ramírez,636849511,34467,71096839,Voluntario,"['El día a día', 'Servicios del Municipio']",1,mujer2.png,Soy una persona muy atenta. Me gusta aportar mi granito de arena siempre que puedo. Estaría encantada de poder acompañarte en lo que necesites.,21/01/2020,3.0,1
116,Goyo,Busquets,Goyo Busquets,654307927,19227,39018861,Voluntario,"['Nuevas Tecnologías', 'Amigos y Ocio', 'El día a día', 'Burocracia']",1,mujer1.png,Quiero devolver a la comunidad lo que me dieron sin pedir nada a cambio.,19/11/2021,4.0,1
117,Cleto,Rosa,Cleto Rosa,606799243,18564,68431323,Ambos,['El día a día'],1,hombre1.png,Quiero devolver a la comunidad lo que me dieron sin pedir nada a cambio.,19/05/2020,5.0,1
118,Paulino,Roda,Paulino Roda,677959735,32747,17682392,Ambos,"['Nuevas Tecnologías', 'Amigos y Ocio', 'Burocracia']",1,hombre1.png,Quiero devolver a la comunidad lo que me dieron sin pedir nada a cambio.,18/03/2022,5.0,1
119,Segismundo,Solera,Segismundo Solera,667225488,10729,12569816,Voluntario,['Salud'],1,hombre2.png,Soy una persona muy atenta. Me gusta aportar mi granito de arena siempre que puedo. Estaría encantada de poder acompañarte en lo que necesites.,07/06/2021,1.0,1
120,Rosario,Balaguer,Rosario Balaguer,678535604,01207,19539569,Voluntario,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'Servicios del Municipio']",0,mujer2.png,Quiero devolver a la comunidad lo que me dieron sin pedir nada a cambio.,09/02/2020,3.0,1
121,Ignacia,Cabello,Ignacia Cabello,646439761,30379,58216732,Voluntario,"['Salud', 'Amigos y Ocio', 'El día a día', 'Burocracia', 'Servicios del Municipio']",0,hombre1.png,Me gusta pasar mi tiempo ayudando a los demás y hacer nuevos amigos.,26/06/2020,5.0,1
122,Benjamín,Quevedo,Benjamín Quevedo,652355815,25577,38119315,Ambos,"['Nuevas Tecnologías', 'Salud', 'Burocracia', 'Servicios del Municipio']",0,hombre1.png,Me gusta pasar mi tiempo ayudando a los demás y hacer nuevos amigos.,06/06/2021,4.0,1
123,Luisa,Nicolau,Luisa Nicolau,607808868,31492,56524410,Ambos,"['Nuevas Tecnologías', 'Amigos y Ocio', 'El día a día']",0,hombre2.png,Quiero devolver a la comunidad lo que me dieron sin pedir nada a cambio.,21/05/2019,1.0,1
124,Nereida,Canales,Nereida Canales,694923802,10516,72109843,Ambos,"['Salud', 'Amigos y Ocio']",0,hombre2.png,Soy una persona a la que le fascina conocer personas diferentes y aprender de los demas para conseguir un objetivo común.,16/03/2020,3.0,1
125,Jose Ramón,Feliu,Jose Ramón Feliu,654184729,19292,26609298,Voluntario,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'Burocracia', 'Servicios del Municipio']",0,mujer1.png,Me encanta sertirme útil y por eso estaría encantada de poder ayudarte.,11/09/2020,4.0,2
126,Goyo,Sanabria,Goyo Sanabria,651913539,02211,55422260,Voluntario,"['Nuevas Tecnologías', 'Salud', 'El día a día', 'Burocracia', 'Servicios del Municipio']",0,hombre1.png,Me gusta pasar mi tiempo ayudando a los demás y hacer nuevos amigos.,10/06/2022,1.5,2
127,Enrique,Español,Enrique Español,683538755,17006,16342024,Ambos,"['Amigos y Ocio', 'El día a día', 'Servicios del Municipio']",1,hombre2.png,Quiero devolver a la comunidad lo que me dieron sin pedir nada a cambio.,25/04/2022,2.5,2
128,León,Sevillano,León Sevillano,639355146,23413,40564678,Ambos,"['Nuevas Tecnologías', 'Amigos y Ocio', 'Servicios del Municipio']",1,mujer2.png,Quiero devolver a la comunidad lo que me dieron sin pedir nada a cambio.,15/08/2021,3.0,2
129,Josep,Benet,Josep Benet,647403999,17529,54589100,Ambos,"['Nuevas Tecnologías', 'Salud', 'El día a día', 'Servicios del Municipio']",1,mujer1.png,Soy una persona a la que le fascina conocer personas diferentes y aprender de los demas para conseguir un objetivo común.,14/02/2020,4.0,2
130,Venceslás,Cabañas,Venceslás Cabañas,675307424,22415,71492907,Voluntario,"['Nuevas Tecnologías', 'Salud', 'Burocracia', 'Servicios del Municipio']",0,mujer2.png,Soy una persona a la que le fascina conocer personas diferentes y aprender de los demas para conseguir un objetivo común.,19/01/2022,2.0,2
131,Aureliano,Alcolea,Aureliano Alcolea,668274701,24343,55095512,Voluntario,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'Burocracia']",1,hombre1.png,"Me gusta trabajar con otras personas, codo con codo, sumando fuerzas, compartiendo experiencias y aprendiendo unas de otras, creciendo juntos.",24/10/2019,1.0,2
132,Ciro,Guzmán,Ciro Guzmán,681269437,29315,76249402,Ambos,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio']",1,hombre1.png,Soy una persona a la que le fascina conocer personas diferentes y aprender de los demas para conseguir un objetivo común.,23/11/2020,3.5,2
133,Flavio,Ramos,Flavio Ramos,694776169,25410,24906690,Ambos,"['Nuevas Tecnologías', 'Salud', 'El día a día', 'Burocracia', 'Servicios del Municipio']",1,mujer1.png,"Me gusta trabajar con otras personas, codo con codo, sumando fuerzas, compartiendo experiencias y aprendiendo unas de otras, creciendo juntos.",10/06/2019,1.5,2
134,Amalia,Teruel,Amalia Teruel,657013850,44500,62182357,Ambos,"['Burocracia', 'Servicios del Municipio']",0,hombre1.png,Quiero devolver a la comunidad lo que me dieron sin pedir nada a cambio.,28/03/2022,3.5,2
135,Ignacio,Quero,Ignacio Quero,606195382,30001,48359678,Ambos,"['Nuevas Tecnologías', 'Salud', 'Servicios del Municipio']",0,hombre1.png,Soy una persona a la que le fascina conocer personas diferentes y aprender de los demas para conseguir un objetivo común.,30/09/2020,3.0,2
136,Vanesa,Cózar,Vanesa Cózar,614604885,32511,67418922,Voluntario,"['Salud', 'Amigos y Ocio', 'El día a día', 'Burocracia']",1,hombre2.png,Quiero devolver a la comunidad lo que me dieron sin pedir nada a cambio.,19/12/2019,2.0,2
137,Reynaldo,Abril,Reynaldo Abril,626598712,02260,61289852,Voluntario,"['Salud', 'Amigos y Ocio', 'Servicios del Municipio']",1,mujer2.png,Quiero devolver a la comunidad lo que me dieron sin pedir nada a cambio.,31/01/2022,3.5,2
138,Rosario,Lara,Rosario Lara,697033777,36630,42007661,Voluntario,"['Nuevas Tecnologías', 'Salud', 'El día a día', 'Servicios del Municipio']",1,mujer1.png,"Me gusta trabajar con otras personas, codo con codo, sumando fuerzas, compartiendo experiencias y aprendiendo unas de otras, creciendo juntos.",01/09/2020,2.0,2
139,Ángeles,Sanz,Ángeles Sanz,639454975,30868,56909437,Voluntario,"['Salud', 'El día a día']",0,hombre2.png,Me gusta pasar mi tiempo ayudando a los demás y hacer nuevos amigos.,15/06/2019,2.5,2
140,Lucho,Torrecilla,Lucho Torrecilla,697510299,32690,30419322,Ambos,"['Nuevas Tecnologías', 'El día a día', 'Burocracia', 'Servicios del Municipio']",0,mujer2.png,Soy una persona a la que le fascina conocer personas diferentes y aprender de los demas para conseguir un objetivo común.,22/04/2021,1.5,2
141,Fabián,Falcó,Fabián Falcó,622065512,04531,29977675,Voluntario,"['Nuevas Tecnologías', 'Burocracia']",0,mujer1.png,Me gusta pasar mi tiempo ayudando a los demás y hacer nuevos amigos.,23/10/2021,4.0,2
142,Manu,Gelabert,Manu Gelabert,690386962,09490,75084536,Ambos,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio']",0,hombre1.png,Soy una persona a la que le fascina conocer personas diferentes y aprender de los demas para conseguir un objetivo común.,16/06/2022,5.0,2
143,Bautista,Barrera,Bautista Barrera,619466446,18313,46172689,Voluntario,"['Salud', 'Amigos y Ocio', 'El día a día', 'Servicios del Municipio']",1,hombre1.png,Me encanta sertirme útil y por eso estaría encantada de poder ayudarte.,03/05/2021,2.5,2
144,Mariana,Mir,Mariana Mir,628224237,48314,67782022,Ambos,"['Nuevas Tecnologías', 'Salud', 'El día a día']",0,mujer1.png,Soy una persona muy atenta. Me gusta aportar mi granito de arena siempre que puedo. Estaría encantada de poder acompañarte en lo que necesites.,05/06/2019,3.5,2
145,Baudelio,Ayllón,Baudelio Ayllón,685984836,38010,27214952,Voluntario,"['Salud', 'Amigos y Ocio', 'Servicios del Municipio']",1,mujer2.png,Soy una persona a la que le fascina conocer personas diferentes y aprender de los demas para conseguir un objetivo común.,18/06/2022,2.5,2
146,Daniela,Tapia,Daniela Tapia,605772310,20600,65816344,Voluntario,"['Nuevas Tecnologías', 'Salud', 'Burocracia', 'Servicios del Municipio']",1,mujer2.png,Soy una persona muy atenta. Me gusta aportar mi granito de arena siempre que puedo. Estaría encantada de poder acompañarte en lo que necesites.,20/11/2019,2.0,2
147,Ani,Criado,Ani Criado,685272881,03792,73343501,Ambos,"['Salud', 'El día a día', 'Servicios del Municipio']",0,mujer1.png,Soy una persona a la que le fascina conocer personas diferentes y aprender de los demas para conseguir un objetivo común.,14/03/2021,2.0,2
148,Baudelio,Verdejo,Baudelio Verdejo,608710641,17538,64437138,Voluntario,"['Amigos y Ocio', 'El día a día', 'Servicios del Municipio']",1,hombre1.png,Me gusta pasar mi tiempo ayudando a los demás y hacer nuevos amigos.,27/06/2022,4.5,2
149,Cecilio,Estevez,Cecilio Estevez,642984944,37727,47117856,Voluntario,"['Amigos y Ocio', 'El día a día', 'Burocracia']",1,hombre1.png,Me encanta sertirme útil y por eso estaría encantada de poder ayudarte.,15/07/2021,1.5,2
150,Bruno,Bayo,Bruno Bayo,645358787,24498,16479732,Voluntario,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'Burocracia', 'Servicios del Municipio']",0,mujer1.png,"Me gusta trabajar con otras personas, codo con codo, sumando fuerzas, compartiendo experiencias y aprendiendo unas de otras, creciendo juntos.",11/02/2020,4.5,2
151,Imelda,Gutierrez,Imelda Gutierrez,685725350,22549,16522740,Voluntario,"['Nuevas Tecnologías', 'Amigos y Ocio', 'El día a día', 'Burocracia']",0,mujer2.png,Soy una persona muy atenta. Me gusta aportar mi granito de arena siempre que puedo. Estaría encantada de poder acompañarte en lo que necesites.,15/04/2020,2.0,2
152,Sancho,Carretero,Sancho Carretero,645683461,34449,36413599,Ambos,"['Nuevas Tecnologías', 'Amigos y Ocio', 'Burocracia']",0,mujer2.png,"Me gusta trabajar con otras personas, codo con codo, sumando fuerzas, compartiendo experiencias y aprendiendo unas de otras, creciendo juntos.",20/11/2020,3.0,2
153,Tania,Hoz,Tania Hoz,683156379,26292,27386168,Voluntario,"['Nuevas Tecnologías', 'Burocracia']",0,hombre2.png,Me encanta sertirme útil y por eso estaría encantada de poder ayudarte.,19/05/2020,4.5,2
154,Cristina,Ariño,Cristina Ariño,602229983,05148,87443276,Ambos,['Salud'],1,hombre2.png,"Me gusta trabajar con otras personas, codo con codo, sumando fuerzas, compartiendo experiencias y aprendiendo unas de otras, creciendo juntos.",26/08/2020,3.5,2
155,Estefanía,Bilbao,Estefanía Bilbao,601600070,24239,43759422,Ambos,"['El día a día', 'Burocracia', 'Servicios del Municipio']",0,mujer2.png,Soy una persona muy atenta. Me gusta aportar mi granito de arena siempre que puedo. Estaría encantada de poder acompañarte en lo que necesites.,26/07/2019,4.0,2
156,Simón,Yáñez,Simón Yáñez,609044691,18270,45092446,Ambos,"['Salud', 'Amigos y Ocio', 'El día a día', 'Burocracia', 'Servicios del Municipio']",1,hombre2.png,Soy una persona muy atenta. Me gusta aportar mi granito de arena siempre que puedo. Estaría encantada de poder acompañarte en lo que necesites.,06/09/2020,3.5,2
157,Maximiano,Julián,Maximiano Julián,645729746,09100,18869424,Voluntario,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'Burocracia', 'Servicios del Municipio']",1,hombre2.png,Me gusta pasar mi tiempo ayudando a los demás y hacer nuevos amigos.,28/02/2021,3.0,2
158,Hernando,Miralles,Hernando Miralles,673815009,47464,32030575,Ambos,"['Amigos y Ocio', 'El día a día', 'Burocracia']",1,mujer1.png,Me gusta pasar mi tiempo ayudando a los demás y hacer nuevos amigos.,04/04/2021,3.5,2
159,Jorge,Priego,Jorge Priego,648078025,24133,74287871,Ambos,"['Nuevas Tecnologías', 'Salud']",0,mujer2.png,Me encanta sertirme útil y por eso estaría encantada de poder ayudarte.,25/04/2022,4.5,2
160,Eleuterio,Marín,Eleuterio Marín,600320754,17515,75219303,Ambos,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'El día a día', 'Burocracia', 'Servicios del Municipio']",1,hombre2.png,"Me gusta trabajar con otras personas, codo con codo, sumando fuerzas, compartiendo experiencias y aprendiendo unas de otras, creciendo juntos.",20/03/2021,3.0,2
161,Zacarías,Molina,Zacarías Molina,636363948,13192,32740238,Ambos,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'Burocracia']",1,mujer1.png,Soy una persona a la que le fascina conocer personas diferentes y aprender de los demas para conseguir un objetivo común.,08/10/2019,4.5,2
162,Úrsula,Belmonte,Úrsula Belmonte,644840043,37700,17438687,Ambos,"['El día a día', 'Burocracia']",1,hombre2.png,Quiero devolver a la comunidad lo que me dieron sin pedir nada a cambio.,05/10/2021,4.0,2
163,Agapito,Sedano,Agapito Sedano,604702393,01250,81827067,Voluntario,['Amigos y Ocio'],1,hombre1.png,Soy una persona muy atenta. Me gusta aportar mi granito de arena siempre que puedo. Estaría encantada de poder acompañarte en lo que necesites.,21/08/2021,2.5,2
164,Ester,Cabo,Ester Cabo,660930716,39409,24697378,Ambos,"['Salud', 'Amigos y Ocio', 'El día a día', 'Servicios del Municipio']",1,hombre1.png,Soy una persona a la que le fascina conocer personas diferentes y aprender de los demas para conseguir un objetivo común.,08/05/2020,3.5,2
165,Candelario,Garcés,Candelario Garcés,638259501,13739,27634530,Voluntario,['Nuevas Tecnologías'],1,mujer1.png,"Me gusta trabajar con otras personas, codo con codo, sumando fuerzas, compartiendo experiencias y aprendiendo unas de otras, creciendo juntos.",12/09/2020,2.5,2
166,Antonia,Cazorla,Antonia Cazorla,670150029,47131,29596257,Voluntario,"['Salud', 'Amigos y Ocio', 'Servicios del Municipio']",0,hombre2.png,Soy una persona muy atenta. Me gusta aportar mi granito de arena siempre que puedo. Estaría encantada de poder acompañarte en lo que necesites.,06/05/2022,1.0,2
167,Paco,Bayona,Paco Bayona,688076545,22377,19967877,Ambos,"['Amigos y Ocio', 'Servicios del Municipio']",1,mujer2.png,"Me gusta trabajar con otras personas, codo con codo, sumando fuerzas, compartiendo experiencias y aprendiendo unas de otras, creciendo juntos.",11/06/2021,2.5,2
168,Serafina,Hidalgo,Serafina Hidalgo,651777768,49151,34197365,Voluntario,"['Nuevas Tecnologías', 'Salud', 'El día a día']",1,hombre1.png,Me gusta pasar mi tiempo ayudando a los demás y hacer nuevos amigos.,19/03/2020,2.5,2
169,Rafael,López,Rafael López,614526664,25799,18839541,Voluntario,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio']",0,hombre2.png,Me encanta sertirme útil y por eso estaría encantada de poder ayudarte.,28/02/2020,4.5,2
170,Fausto,Ríos,Fausto Ríos,668505975,41340,21385087,Voluntario,"['Nuevas Tecnologías', 'Salud', 'El día a día']",1,hombre1.png,"Me gusta trabajar con otras personas, codo con codo, sumando fuerzas, compartiendo experiencias y aprendiendo unas de otras, creciendo juntos.",30/05/2020,1.0,2
171,Perla,Mate,Perla Mate,650305434,24346,56470971,Ambos,"['Nuevas Tecnologías', 'Burocracia', 'Servicios del Municipio']",0,hombre1.png,Soy una persona muy atenta. Me gusta aportar mi granito de arena siempre que puedo. Estaría encantada de poder acompañarte en lo que necesites.,29/12/2020,3.0,2
172,Emma,Ángel,Emma Ángel,674755761,30580,13494168,Ambos,"['Amigos y Ocio', 'Burocracia']",1,hombre1.png,Quiero devolver a la comunidad lo que me dieron sin pedir nada a cambio.,16/12/2021,5.0,2
173,Adán,Marí,Adán Marí,692754917,05211,79889458,Ambos,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio']",1,hombre1.png,Me gusta pasar mi tiempo ayudando a los demás y hacer nuevos amigos.,07/08/2020,3.0,2
174,Gracia,Calleja,Gracia Calleja,606947447,46514,73624055,Voluntario,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'El día a día', 'Burocracia', 'Servicios del Municipio']",0,mujer2.png,Quiero devolver a la comunidad lo que me dieron sin pedir nada a cambio.,03/12/2020,3.5,2
175,Selena,Cañizares,Selena Cañizares,616246020,31713,48538187,Ambos,"['Salud', 'El día a día']",1,mujer2.png,"Me gusta trabajar con otras personas, codo con codo, sumando fuerzas, compartiendo experiencias y aprendiendo unas de otras, creciendo juntos.",25/06/2019,3.0,2
176,Juan Luis,Carlos,Juan Luis Carlos,662368974,47010,64782070,Voluntario,"['Nuevas Tecnologías', 'Salud', 'El día a día', 'Burocracia', 'Servicios del Municipio']",1,mujer1.png,Soy una persona a la que le fascina conocer personas diferentes y aprender de los demas para conseguir un objetivo común.,17/11/2020,2.5,2
177,Tania,Campo,Tania Campo,665416193,31009,24806780,Ambos,"['Salud', 'El día a día', 'Burocracia', 'Servicios del Municipio']",1,mujer1.png,Soy una persona a la que le fascina conocer personas diferentes y aprender de los demas para conseguir un objetivo común.,16/05/2021,4.0,2
178,Manuelita,Lladó,Manuelita Lladó,652430605,11178,58367423,Ambos,"['Burocracia', 'Servicios del Municipio']",1,hombre1.png,Me encanta sertirme útil y por eso estaría encantada de poder ayudarte.,29/03/2021,3.0,2
179,Lope,Galvez,Lope Galvez,636860218,24374,66514480,Ambos,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'El día a día', 'Burocracia', 'Servicios del Municipio']",0,hombre1.png,Soy una persona muy atenta. Me gusta aportar mi granito de arena siempre que puedo. Estaría encantada de poder acompañarte en lo que necesites.,18/03/2020,4.0,2
180,Liliana,Novoa,Liliana Novoa,665804062,37117,78344164,Voluntario,"['Nuevas Tecnologías', 'Amigos y Ocio', 'El día a día', 'Burocracia']",1,hombre1.png,"Me gusta trabajar con otras personas, codo con codo, sumando fuerzas, compartiendo experiencias y aprendiendo unas de otras, creciendo juntos.",19/09/2020,3.0,2
181,Herminio,Laguna,Herminio Laguna,623907471,20567,26773835,Voluntario,"['Amigos y Ocio', 'El día a día', 'Servicios del Municipio']",1,hombre1.png,Me gusta pasar mi tiempo ayudando a los demás y hacer nuevos amigos.,11/06/2021,4.0,2
182,Anselma,Torres,Anselma Torres,672599381,09145,57979893,Voluntario,"['Nuevas Tecnologías', 'Amigos y Ocio', 'Servicios del Municipio']",1,hombre2.png,"Me gusta trabajar con otras personas, codo con codo, sumando fuerzas, compartiendo experiencias y aprendiendo unas de otras, creciendo juntos.",31/08/2020,4.0,2
183,José,Azcona,José Azcona,673733629,10897,14461272,Voluntario,"['Salud', 'El día a día', 'Servicios del Municipio']",0,mujer1.png,Quiero devolver a la comunidad lo que me dieron sin pedir nada a cambio.,05/10/2021,3.0,2
184,Cirino,Lloret,Cirino Lloret,608884673,40214,20070093,Ambos,"['Nuevas Tecnologías', 'Salud', 'Burocracia', 'Servicios del Municipio']",1,mujer1.png,Soy una persona a la que le fascina conocer personas diferentes y aprender de los demas para conseguir un objetivo común.,10/02/2022,3.5,2
185,Arsenio,Acevedo,Arsenio Acevedo,685077284,28840,29801735,Voluntario,"['Nuevas Tecnologías', 'Amigos y Ocio']",0,mujer1.png,Me gusta pasar mi tiempo ayudando a los demás y hacer nuevos amigos.,05/12/2019,2.0,2
186,Nazario,Castrillo,Nazario Castrillo,633311938,05120,87004182,Voluntario,"['El día a día', 'Burocracia', 'Servicios del Municipio']",0,mujer2.png,Quiero devolver a la comunidad lo que me dieron sin pedir nada a cambio.,05/05/2021,3.5,2
187,Febe,Juárez,Febe Juárez,691883581,50136,24581820,Voluntario,"['Nuevas Tecnologías', 'Amigos y Ocio', 'El día a día']",1,mujer2.png,Me encanta sertirme útil y por eso estaría encantada de poder ayudarte.,29/10/2019,1.0,2
188,Felix,Sala,Felix Sala,664660226,36158,76535710,Ambos,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'El día a día']",0,hombre1.png,Soy una persona muy atenta. Me gusta aportar mi granito de arena siempre que puedo. Estaría encantada de poder acompañarte en lo que necesites.,10/05/2022,4.0,2
189,Carmen,Roma,Carmen Roma,675837296,10711,75426478,Voluntario,"['Salud', 'Burocracia']",0,hombre1.png,Quiero devolver a la comunidad lo que me dieron sin pedir nada a cambio.,04/11/2020,3.0,2
190,Chelo,Agustí,Chelo Agustí,635385846,15937,76837541,Voluntario,"['Amigos y Ocio', 'Servicios del Municipio']",0,hombre1.png,"Me gusta trabajar con otras personas, codo con codo, sumando fuerzas, compartiendo experiencias y aprendiendo unas de otras, creciendo juntos.",22/05/2021,2.5,2
191,Dani,Company,Dani Company,677831035,25271,57976830,Ambos,['El día a día'],0,hombre1.png,Soy una persona a la que le fascina conocer personas diferentes y aprender de los demas para conseguir un objetivo común.,14/11/2019,3.0,2
192,Caridad,Araujo,Caridad Araujo,695891107,18214,58800451,Voluntario,"['Salud', 'Burocracia']",1,mujer2.png,Me gusta pasar mi tiempo ayudando a los demás y hacer nuevos amigos.,12/05/2021,1.5,2
193,Perlita,Peiró,Perlita Peiró,619168548,09246,22178473,Voluntario,"['Nuevas Tecnologías', 'Amigos y Ocio', 'El día a día', 'Burocracia']",0,mujer1.png,Soy una persona muy atenta. Me gusta aportar mi granito de arena siempre que puedo. Estaría encantada de poder acompañarte en lo que necesites.,05/03/2020,2.5,2
194,Dafne,Colomer,Dafne Colomer,602338554,09141,53556382,Ambos,['Servicios del Municipio'],1,mujer1.png,Soy una persona muy atenta. Me gusta aportar mi granito de arena siempre que puedo. Estaría encantada de poder acompañarte en lo que necesites.,28/02/2020,2.5,2
195,Tito,Castell,Tito Castell,697196650,32869,66483888,Voluntario,"['Burocracia', 'Servicios del Municipio']",0,mujer2.png,Me encanta sertirme útil y por eso estaría encantada de poder ayudarte.,27/07/2019,3.0,2
196,Ariel,Mendez,Ariel Mendez,686143880,15009,58584463,Ambos,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'Burocracia']",1,mujer1.png,"Me gusta trabajar con otras personas, codo con codo, sumando fuerzas, compartiendo experiencias y aprendiendo unas de otras, creciendo juntos.",11/06/2021,3.0,2
197,Pánfilo,Pallarès,Pánfilo Pallarès,626075836,29790,83461598,Voluntario,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'Burocracia']",1,hombre2.png,Quiero devolver a la comunidad lo que me dieron sin pedir nada a cambio.,24/05/2019,1.5,2
198,Humberto,Iborra,Humberto Iborra,695442952,06108,48257680,Voluntario,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio']",1,mujer2.png,Me encanta sertirme útil y por eso estaría encantada de poder ayudarte.,06/01/2022,2.5,2
199,Griselda,Calderon,Griselda Calderon,601196802,20230,45644382,Voluntario,"['Salud', 'Burocracia', 'Servicios del Municipio']",0,mujer2.png,Soy una persona a la que le fascina conocer personas diferentes y aprender de los demas para conseguir un objetivo común.,20/04/2022,3.0,2
200,Paulino,Cortes,Paulino Cortes,663956497,05216,32579052,Voluntario,"['Nuevas Tecnologías', 'Salud', 'Burocracia', 'Servicios del Municipio']",0,mujer1.png,Soy una persona a la que le fascina conocer personas diferentes y aprender de los demas para conseguir un objetivo común.,20/06/2021,2.5,2
201,Ángela,Cámara,Ángela Cámara,694281000,37149,77318406,Ambos,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'El día a día']",0,hombre2.png,Me gusta pasar mi tiempo ayudando a los demás y hacer nuevos amigos.,22/12/2020,3.0,2
